name,url,author,num_watch,num_stars,num_forks,num_open_issues,last_updated
awesome-comparisons,https://github.com/dhamaniasad/awesome-comparisons,dhamaniasad,2,2,0,0,2014-12-14T11:54:10Z
awesome-computer-vision,https://github.com/AGV-IIT-KGP/awesome-computer-vision,AGV-IIT-KGP,6,6,5,3,2014-10-17T07:35:33Z
awesome-conference-playlists,https://github.com/chentsulin/awesome-conference-playlists,chentsulin,2,2,0,0,2014-09-18T02:56:34Z
awesome-conferences,https://github.com/RichardLitt/awesome-conferences,RichardLitt,261,261,50,8,2014-08-20T20:41:09Z
awesome-container,https://github.com/tcnksm/awesome-container,tcnksm,46,46,3,1,2015-04-21T00:35:22Z
awesome-cordova,https://github.com/busterc/awesome-cordova,busterc,63,63,8,0,2014-07-19T20:43:51Z
awesome-courses,https://github.com/prakhar1989/awesome-courses,prakhar1989,12536,12536,1570,7,2014-11-15T18:36:49Z
awesome-cpp,https://github.com/fffaraz/awesome-cpp,fffaraz,3225,3225,587,14,2014-07-17T08:51:11Z
awesome-css,https://github.com/deepakbhattarai/awesome-css,deepakbhattarai,3,3,0,0,2014-10-07T08:46:56Z
awesome-css,https://github.com/ikkou/awesome-css,ikkou,40,40,8,7,2014-07-14T01:57:54Z
awesome-d,https://github.com/zhaopuming/awesome-d,zhaopuming,77,77,12,0,2014-07-08T06:59:56Z
awesome-d3,https://github.com/wbkd/awesome-d3,wbkd,2496,2496,76,1,2015-05-19T15:25:47Z
awesome-dart,https://github.com/yissachar/awesome-dart,yissachar,94,94,19,2,2014-08-19T23:59:06Z
awesome-dashboard,https://github.com/obazoud/awesome-dashboard,obazoud,61,61,7,0,2014-10-03T13:06:36Z
awesome-datascience,https://github.com/okulbilisim/awesome-datascience,okulbilisim,1491,1491,316,1,2014-07-05T07:07:43Z
awesome-datasets,https://github.com/viisar/awesome-datasets,viisar,9,9,2,0,2014-07-31T12:07:30Z
awesome-db,https://github.com/numetriclabz/awesome-db,numetriclabz,93,93,14,5,2014-08-05T04:44:31Z
awesome-ddd,https://github.com/wkjagt/awesome-ddd,wkjagt,1,1,0,0,2014-07-19T13:18:23Z
awesome-delphi,https://github.com/Fr0sT-Brutal/awesome-delphi,Fr0sT-Brutal,58,58,10,0,2014-08-20T12:15:33Z
awesome-derby,https://github.com/onerussell/awesome-derby,onerussell,8,8,0,0,2014-08-24T10:45:59Z
awesome-design,https://github.com/troyericg/awesome-design,troyericg,10,10,1,0,2014-10-17T16:29:02Z
awesome-devenv,https://github.com/jondot/awesome-devenv,jondot,225,225,26,1,2014-07-10T08:46:00Z
awesome-devtools,https://github.com/moimikey/awesome-devtools,moimikey,11,11,0,0,2014-08-10T15:20:51Z
awesome-django,https://github.com/rosarior/awesome-django,rosarior,2544,2544,365,8,2014-07-28T21:15:13Z
awesome-django-cms,https://github.com/mishbahr/awesome-django-cms,mishbahr,47,47,2,0,2014-08-01T12:48:48Z
awesome-docker,https://github.com/anildigital/awesome-docker,anildigital,17,17,4,2,2014-07-26T19:15:57Z
awesome-docker,https://github.com/veggiemonk/awesome-docker,veggiemonk,1205,1205,117,0,2014-09-21T17:01:48Z
awesome-doctrine,https://github.com/TomasVotruba/awesome-doctrine,TomasVotruba,53,53,2,0,2014-08-19T16:37:32Z
awesome-dojo,https://github.com/peterkokot/awesome-dojo,peterkokot,29,29,5,0,2014-10-22T11:11:18Z
awesome-dotfiles,https://github.com/webpro/awesome-dotfiles,webpro,383,383,16,0,2014-07-16T13:10:14Z
awesome-dotnet,https://github.com/quozd/awesome-dotnet,quozd,863,863,141,4,2014-07-16T09:32:12Z
awesome-educate,https://github.com/mercer/awesome-educate,mercer,6,6,1,0,2014-09-18T11:04:47Z
awesome-elm,https://github.com/isRuslan/awesome-elm,isRuslan,59,59,0,0,2015-05-17T11:14:42Z
awesome-emacs,https://github.com/emacs-tw/awesome-emacs,emacs-tw,1008,1008,114,3,2014-08-01T02:51:10Z
awesome-emacs,https://github.com/sefakilic/awesome-emacs,sefakilic,2,2,0,0,2014-07-28T16:54:16Z
awesome-emacs,https://github.com/tacticiankerala/awesome-emacs,tacticiankerala,7,7,0,0,2014-07-16T15:38:25Z
awesome-ember,https://github.com/nmec/awesome-ember,nmec,70,70,8,4,2014-07-30T08:00:38Z
awesome-electron,https://github.com/sindresorhus/awesome-electron,sindresorhus,1861,1861,89,1,2015-04-23T11:48:53Z
awesome-elixir,https://github.com/h4cc/awesome-elixir,h4cc,1555,1555,132,133,2014-07-01T21:12:03Z
awesome-endless-codeforall-list,https://github.com/RobTranquillo/awesome-endless-codeforall-list,RobTranquillo,2,2,0,0,2014-07-17T06:46:40Z
awesome-erlang,https://github.com/drobakowski/awesome-erlang,drobakowski,245,245,41,15,2014-07-10T12:50:18Z
awesome-events,https://github.com/planetruby/awesome-events,planetruby,130,130,46,0,2015-04-21T13:42:15Z
awesome-flask,https://github.com/humiaozuzu/awesome-flask,humiaozuzu,1304,1304,164,3,2014-03-08T07:54:36Z
awesome-flexbox,https://github.com/afonsopacifer/awesome-flexbox,afonsopacifer,46,46,1,0,2015-05-09T17:37:01Z
