name,url,author,num_watch,num_stars,num_forks,num_open_issues,last_updated,last_push
rails-must-watch,https://github.com/gerricchaplin/rails-must-watch,gerricchaplin,2,10,0,0,2015-09-14T22:33:25Z,2014-12-28T22:23:22Z
remote-in-japan,https://github.com/uiureo/remote-in-japan,uiureo,22,143,28,1,2015-10-09T13:50:27Z,2015-10-02T05:44:34Z
resource-list,https://github.com/kyasui/resource-list,kyasui,1,6,0,0,2015-08-20T06:11:54Z,2015-02-10T16:04:37Z
resources,https://github.com/hr-14-15/resources,hr-14-15,31,155,44,0,2015-10-11T17:34:02Z,2015-03-02T07:55:30Z
resources,https://github.com/jbranchaud/resources,jbranchaud,2,6,0,4,2015-08-20T06:14:51Z,2015-10-10T14:26:50Z
Resources,https://github.com/tevko/Resources,tevko,48,359,41,1,2015-10-01T00:45:50Z,2015-10-07T14:20:29Z
Resources-for-Writing-Shaders-in-Unity,https://github.com/VoxelBoy/Resources-for-Writing-Shaders-in-Unity,VoxelBoy,3,21,3,0,2015-10-09T11:14:44Z,2015-09-22T21:14:42Z
rss-readers-list,https://github.com/smithbr/rss-readers-list,smithbr,4,17,7,0,2015-08-20T06:37:22Z,2014-12-14T21:32:07Z
ruby-bookmarks,https://github.com/dreikanter/ruby-bookmarks,dreikanter,95,983,134,1,2015-10-10T03:34:51Z,2015-08-20T09:01:14Z
rubybib.org,https://github.com/rubybib/rubybib.org,rubybib,2,26,4,1,2015-09-29T19:07:09Z,2015-09-05T16:18:11Z
ruby-dev-bookmarks,https://github.com/saberma/ruby-dev-bookmarks,saberma,60,380,95,0,2015-10-02T16:00:08Z,2014-09-02T04:01:26Z
ruby-nlp,https://github.com/diasks2/ruby-nlp,diasks2,44,446,30,0,2015-10-10T22:47:15Z,2015-10-03T22:08:24Z
ruby-trivia,https://github.com/gregstallings/ruby-trivia,gregstallings,61,720,125,1,2015-10-04T19:28:16Z,2015-05-20T08:53:33Z
rust-lang-resources,https://github.com/dschenkelman/rust-lang-resources,dschenkelman,1,2,0,0,2015-08-15T22:16:29Z,2014-10-13T17:11:03Z
rx-react-flux,https://github.com/christianramsey/rx-react-flux,christianramsey,3,10,1,0,2015-09-14T03:30:54Z,2015-07-31T12:30:45Z
scalable-css-reading-list,https://github.com/davidtheclark/scalable-css-reading-list,davidtheclark,93,872,43,0,2015-10-10T23:24:07Z,2015-09-30T13:49:03Z
secure-email,https://github.com/OpenTechFund/secure-email,OpenTechFund,68,303,39,14,2015-10-10T20:15:52Z,2015-09-10T09:40:52Z
search-engine-optimization,https://github.com/marcobiedermann/search-engine-optimization,marcobiedermann,18,103,12,5,2015-10-10T03:37:44Z,2015-08-26T12:25:23Z
services-engineering,https://github.com/mmcgrana/services-engineering,mmcgrana,188,1940,104,49,2015-10-11T21:57:59Z,2015-08-07T17:22:39Z
share-links,https://github.com/vinkla/share-links,vinkla,1,21,2,0,2015-10-08T11:40:25Z,2015-10-03T09:38:18Z
